ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1751062	1.57e-25	7.07e-30	-20.562873	57.535098	-2.5992012	307611947	SCARA5	scavenger receptor class A member 5
ILMN_1656300	3.91e-25	4.54e-29	-19.883554	55.72381	-2.1142417	47078234	GFRA2	GDNF family receptor alpha 2
ILMN_1705803	3.91e-25	5.29e-29	19.828619	55.5752	2.5330368	182765453	SOX9	SRY-box 9
ILMN_1669046	4.67e-24	8.42e-28	18.850976	52.875397	3.9888716	145309319	FOXQ1	forkhead box Q1
ILMN_1686097	9.43e-24	2.12e-27	18.531735	51.970708	3.0111	300193028	TOP2A	topoisomerase (DNA) II alpha
ILMN_1737184	1.85e-23	5.01e-27	18.239023	51.130945	3.2295945	88999584	CDCA7	cell division cycle associated 7
ILMN_1717936	6.33e-23	2.00e-26	-17.773916	49.776085	-3.2867391	555290127	RERGL	RERG like
ILMN_1813704	9.56e-23	3.71e-26	17.568268	49.168884	3.8362161	648215830	CEMIP	cell migration inducing hyaluronan binding protein
ILMN_1806106	9.56e-23	3.88e-26	17.553785	49.12593	1.8171287	45593129	GNL3	G protein nucleolar 3
ILMN_1743445	2.37e-22	1.07e-25	-17.220678	48.131052	-2.3922233	544186053	FAM107A	family with sequence similarity 107 member A
ILMN_1674302	3.53e-22	1.75e-25	17.060056	47.646527	1.7177719	325296911	PPAT	phosphoribosyl pyrophosphate amidotransferase
ILMN_1680390	5.53e-22	2.99e-25	-16.887038	47.121076	-2.0412375	189491760	GCNT2	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)
ILMN_1742906	8.29e-22	4.86e-25	16.731432	46.645359	1.6763758	522838232	TGIF1	TGFB induced factor homeobox 1
ILMN_1756326	8.37e-22	5.28e-25	16.704331	46.562202	2.4912564	756761811	CKS2	CDC28 protein kinase regulatory subunit 2
ILMN_1682176	8.72e-22	5.90e-25	-16.669324	46.454647	-2.6885996	156627578	CLEC3B	C-type lectin domain family 3 member B
ILMN_1779353	8.84e-22	6.38e-25	16.644223	46.377435	2.1139747	970414588	PUS7	pseudouridylate synthase 7 (putative)
ILMN_1714730	9.16e-22	7.02e-25	16.613707	46.283462	3.5406753	NA		
ILMN_1773760	1.25e-21	1.01e-24	16.497259	45.923791	2.321962	119220556	PAICS	phosphoribosylaminoimidazole carboxylase; phosphoribosylaminoimidazolesuccinocarboxamide synthase
ILMN_1783931	1.32e-21	1.13e-24	-16.463001	45.817657	-1.9010936	507144090	PLPP1	phospholipid phosphatase 1
ILMN_1725105	1.44e-21	1.30e-24	16.417772	45.677311	1.785097	208879468	EEF1E1	eukaryotic translation elongation factor 1 epsilon 1
ILMN_1704294	1.56e-21	1.48e-24	16.377343	45.55164	2.8330145	953953833	CDH3	cadherin 3
ILMN_1711470	1.76e-21	1.74e-24	16.325398	45.389872	2.2001607	209969667	UBE2T	ubiquitin conjugating enzyme E2 T
ILMN_1771903	1.87e-21	1.94e-24	16.291537	45.284239	1.532389	961513299	NUP37	nucleoporin 37
ILMN_1796589	2.09e-21	2.28e-24	16.240395	45.124424	2.400841	261337159	TRIP13	thyroid hormone receptor interactor 13
ILMN_1815184	2.09e-21	2.36e-24	16.229662	45.090841	2.5887147	194248058	ASPM	abnormal spindle microtubule assembly
ILMN_1743701	2.86e-21	3.35e-24	16.1197	44.745949	2.669312	39777593	SLCO4A1	solute carrier organic anion transporter family member 4A1
ILMN_1747016	3.08e-21	3.75e-24	16.084216	44.634328	2.5528571	187608536	CEP55	centrosomal protein 55
ILMN_1728934	3.41e-21	4.35e-24	16.0382	44.489341	2.463164	389886541	PRC1	protein regulator of cytokinesis 1
ILMN_1747911	3.41e-21	4.46e-24	16.029956	44.463338	2.627566	281427276	CDK1	cyclin dependent kinase 1
ILMN_1731062	4.28e-21	5.79e-24	-15.948877	44.20713	-2.2093058	268834883	NPY	neuropeptide Y
ILMN_1720124	9.59e-21	1.34e-23	15.689234	43.38103	1.2672367	342837719	RCC2	regulator of chromosome condensation 2
ILMN_1724686	1.27e-20	1.84e-23	15.591885	43.069071	3.5555241	296785063	CLDN1	claudin 1
ILMN_1739645	1.27e-20	1.89e-23	15.583453	43.041991	2.349487	697272137	ANLN	anillin actin binding protein
ILMN_1683450	1.61e-20	2.47e-23	15.501443	42.778152	2.494467	188497628	CDCA5	cell division cycle associated 5
ILMN_1727055	1.85e-20	2.93e-23	15.449733	42.611345	2.1901209	987437891	PARPBP	PARP1 binding protein
