"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"3868","ILMN_1686097",3.08998081633333,0.0562111308333333,22.8776017635911,2.07974575015083e-33,2.45474926955988e-29,65.5794599367799,"TOP2A","DNA topoisomerase II alpha"
"10189","ILMN_1751062",-2.632281583,0.0942696495,-22.8537604697199,2.21308084165153e-33,2.45474926955988e-29,65.5189685714628,"SCARA5","scavenger receptor class A member 5"
"590","ILMN_1656300",-2.118826534,-0.143493801,-21.1083913100728,2.40959525887121e-31,1.42810734373878e-27,60.9418021739858,"GFRA2","GDNF family receptor alpha 2"
"15695","ILMN_1813704",3.90538452866666,0.181150705666667,21.0844273415702,2.57502225701186e-31,1.42810734373878e-27,60.8768507953799,"CEMIP","cell migration inducing hyaluronidase 1"
"6678","ILMN_1714730",3.654319398,0.324065511666667,20.3804810399184,1.85719476554311e-30,8.24000173576169e-27,58.9423313425986,"UBE2C","ubiquitin conjugating enzyme E2 C"
"9500","ILMN_1743445",-2.455249705,-0.165795254833333,-20.0297139698227,5.06421657857389e-30,1.87240967631805e-26,57.9588573132724,"FAM107A","family with sequence similarity 107 member A"
"14236","ILMN_1796801",-2.70275762733333,-0.161346006,-19.8743839808507,7.92845101558984e-30,2.3373653801658e-26,57.5191119686197,"ABCA8","ATP binding cassette subfamily A member 8"
"15814","ILMN_1815184",2.66385705513333,-0.0423832103333333,19.8532364868135,8.42901327142374e-30,2.3373653801658e-26,57.4590398135727,"ASPM","assembly factor for spindle microtubules"
"10659","ILMN_1756326",2.548412735,0.1015094615,19.6542848168383,1.50282542989242e-29,3.7042977040815e-26,56.8914984958472,"CKS2","CDC28 protein kinase regulatory subunit 2"
"3445","ILMN_1682176",-2.80189350926667,-0.026482112,-19.6074422225001,1.72305498710225e-29,3.82242518338763e-26,56.7572404084199,"CLEC3B","C-type lectin domain family 3 member B"
"9826","ILMN_1747016",2.62920423,0.311961251666667,19.4294475128028,2.90330651402524e-29,5.36724597559467e-26,56.2448678618373,"CEP55","centrosomal protein 55"
"14216","ILMN_1796589",2.46246733633333,0.2709508185,19.4469826647982,2.75743442604448e-29,5.36724597559467e-26,56.2955003126752,"TRIP13","thyroid hormone receptor interactor 13"
"6366","ILMN_1711470",2.258497098,0.200879898,19.3155202417383,4.061572400427e-29,6.93091708700558e-26,55.9150702238285,"UBE2T","ubiquitin conjugating enzyme E2 T"
"7012","ILMN_1717936",-3.41277085986666,0.502549911733333,-18.7174000645776,2.42177335351022e-28,3.38212746752161e-25,54.1596186384312,"RERGL","RERG like"
"7676","ILMN_1724686",3.63606987566667,-0.1120150245,18.7187979372668,2.41157865644495e-28,3.38212746752161e-25,54.1637688680379,"CLDN1","claudin 1"
"8103","ILMN_1728934",2.52264087466667,0.200807661666667,18.7150069913095,2.43932741977758e-28,3.38212746752161e-25,54.1525131751432,"PRC1","protein regulator of cytokinesis 1"
"9126","ILMN_1739645",2.40968665233333,0.202453465833333,18.5968703411119,3.48701185974776e-28,4.55034535862613e-25,53.8009236316176,"ANLN","anillin, actin binding protein"
"9521","ILMN_1743701",2.71394840533333,0.181845458,18.5322956577384,4.24191641389392e-28,5.22792631810127e-25,53.6080593294368,"SLCO4A1","solute carrier organic anion transporter family member 4A1"
"8874","ILMN_1737184",3.2199421718,-0.112040818666667,18.4365198988742,5.67759819670771e-28,6.62904412609283e-25,53.3211158656666,"CDCA7","cell division cycle associated 7"
"1560","ILMN_1664516",2.3009648528,0.1895713615,17.9904400572829,2.23727994613101e-27,2.41153619139872e-24,51.9705087438047,"CENPF","centromere protein F"
"7254","ILMN_1720526",2.26100942066667,0.111340672666667,17.983938262541,2.28282816531614e-27,2.41153619139872e-24,51.950649389676,"CENPN","centromere protein N"
"8021","ILMN_1728107",-1.81691754483333,-0.13805678975,-17.8286700121417,3.69933408512456e-27,3.56808814540883e-24,51.4748958693991,"GNG7","G protein subunit gamma 7"
"15687","ILMN_1813638",2.37878532033333,-0.0678061715,17.8370870008246,3.60352691758668e-27,3.56808814540883e-24,51.5007599125032,"IQGAP3","IQ motif containing GTPase activating protein 3"
"3585","ILMN_1683450",2.57770549066666,0.472238501333333,17.7937205707481,4.1255280506021e-27,3.81336309477321e-24,51.3674112103279,"CDCA5","cell division cycle associated 5"
"2050","ILMN_1669046",4.05992516933333,0.787304476666667,17.6768649250726,5.94649833277649e-27,5.07373534670437e-24,51.0069657631281,"FOXQ1","forkhead box Q1"
"11936","ILMN_1770663",-2.41029365033333,-0.0497419841666667,-17.6771209948789,5.9417258334245e-27,5.07373534670437e-24,51.0077574138554,"KRT24","keratin 24"
"2642","ILMN_1674302",1.723470494,0.126135888666667,17.6627694434038,6.2152750763957e-27,5.10665415906527e-24,50.963376802579,"PPAT","phosphoribosyl pyrophosphate amidotransferase"
"12711","ILMN_1779353",2.1318060791,0.27434793555,17.4616556153658,1.17080105358778e-26,9.2760894902826e-24,50.3388379491987,"PUS7","pseudouridine synthase 7"
"7900","ILMN_1727055",2.2433861514,0.3524139295,17.4447190433353,1.235199950754e-26,9.4488536922506e-24,50.2860194589501,"PARPBP","PARP1 binding protein"
"9893","ILMN_1747911",2.66472891833333,0.4229111925,17.3205546468692,1.83088986142745e-26,1.35388202286355e-23,49.8977337946585,"CDK1","cyclin dependent kinase 1"
"3283","ILMN_1680390",-2.03172409446667,-0.0848870120333333,-17.2352614497572,2.40177690084912e-26,1.71874254091732e-23,49.6299156549763,"GCNT2","glucosaminyl (N-acetyl) transferase 2 (I blood group)"
"15021","ILMN_1806106",1.81971872633333,-0.0256367311666667,17.2207539115604,2.51546521798114e-26,1.74384626236543e-23,49.5842738092341,"GNL3","G protein nucleolar 3"
"5583","ILMN_1702858",-1.51954242,-0.179042885666667,-17.1470381636703,3.18305680698862e-26,2.13978582443138e-23,49.3519594679612,"ADHFE1","alcohol dehydrogenase iron containing 1"
"12048","ILMN_1771903",1.57094685293333,0.253742520666667,17.0774521972452,3.97740431431552e-26,2.59513933261104e-23,49.1320473029643,"NUP37","nucleoporin 37"
"7716","ILMN_1725105",1.80504641466667,0.190106446333333,16.8793368341826,7.52380221205453e-26,4.76880080777765e-23,48.50267139933,"EEF1E1","eukaryotic translation elongation factor 1 epsilon 1"
"10385","ILMN_1753196",2.37821776533333,0.290879862666667,16.8687173209011,7.78635239846472e-26,4.79812337798726e-23,48.4687979076586,"PTTG1","PTTG1 regulator of sister chromatid separation, securin"
"5793","ILMN_1705301",1.90163459866667,-0.084692941,16.8168509565033,9.20819851473655e-26,5.52093718515988e-23,48.3031563529353,"TEAD4","TEA domain transcription factor 4"
"12208","ILMN_1773760",2.358806056,0.319056535,16.7354589715606,1.19884590316729e-25,6.99873618838506e-23,48.0425462736792,"PAICS","phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase"
"5137","ILMN_1698259",-1.74675130266667,-0.106641019,-16.6880433312703,1.39854850522106e-25,7.75635000995602e-23,47.8903446901726,"TMEM100","transmembrane protein 100"
