ID	Gene.symbol	Gene.title	log2(fold change)	-log10(Pvalue)
ILMN_1343292	TUBB2A	tubulin beta 2A class IIa	-0.764	5.561
ILMN_1343293	TXN	thioredoxin	0.773	9.068
ILMN_1343294	ACTB	actin beta	-0.345	2.889
ILMN_1651209	SLC35E2	solute carrier family 35 member E2	-0.293	2.899
ILMN_1651217	PDCD1LG2	programmed cell death 1 ligand 2	-0.293	2.505
ILMN_1651229	IPO13	importin 13	-0.263	1.82
ILMN_1651234	SYT14	synaptotagmin 14	-0.326	2.372
ILMN_1651235	AFAP1	actin filament associated protein 1	-0.319	2.499
ILMN_1651236			-0.337	3.145
ILMN_1651237	CDT1	chromatin licensing and DNA replication factor 1	1.577	14.421
ILMN_1651238	TRPV1	transient receptor potential cation channel subfamily V member 1	-0.4	4.027
ILMN_1651254	LPP	LIM domain containing preferred translocation partner in lipoma	-1.001	11.638
ILMN_1651259	UGP2	UDP-glucose pyrophosphorylase 2	-0.388	3.928
ILMN_1651260	CCNE2	cyclin E2	-0.337	2.682
ILMN_1651261	RSU1	Ras suppressor protein 1	-0.291	2.635
ILMN_1651262	HNRNPAB	heterogeneous nuclear ribonucleoprotein A/B	0.375	3.863
ILMN_1651268	BORCS5	BLOC-1 related complex subunit 5	-0.255	1.835
ILMN_1651282	COL17A1	collagen type XVII alpha 1 chain	-1.444	4.893
ILMN_1651296			-0.239	2.768
ILMN_1651298	RAD17	RAD17 checkpoint clamp loader component	-0.323	2.614
ILMN_1651303	ATP13A4	ATPase 13A4	-0.399	4.215
ILMN_1651316	CD69	CD69 molecule	-0.805	5.913
ILMN_1651330			-0.362	2.899
ILMN_1651339	UHRF1BP1L	UHRF1 binding protein 1 like	-0.29	2.281
ILMN_1651343	ITGA11	integrin subunit alpha 11	0.562	1.986
ILMN_1651349	CD86	CD86 molecule	-0.42	4.053
ILMN_1651354	SPP1	secreted phosphoprotein 1	1.564	4.004
ILMN_1651358	HBE1	hemoglobin subunit epsilon 1	-0.305	1.988
ILMN_1651370	USP21	ubiquitin specific peptidase 21	-0.31	2.699
ILMN_1651373	RHD	Rh blood group D antigen	-0.324	2.426
ILMN_1651385	MFN2	mitofusin 2	-0.736	10.649
ILMN_1651399	CUL5	cullin 5	0.213	1.407
ILMN_1651404	LILRA6	leukocyte immunoglobulin like receptor A6	-0.299	2.378
ILMN_1651406	PPP1R14B	protein phosphatase 1 regulatory inhibitor subunit 14B	0.879	10.694
ILMN_1651415	DERL3	derlin 3	-1.118	10.675
ILMN_1651429	SELM	selenoprotein M	-0.987	4.62
ILMN_1651430	CTRB2	chymotrypsinogen B2	-0.34	2.744
ILMN_1651433	DCK	deoxycytidine kinase	0.428	4.155
ILMN_1651436	PAIP1	poly(A) binding protein interacting protein 1	-0.291	2.786
ILMN_1651437	FOXI1	forkhead box I1	-0.337	3.015
ILMN_1651445			-0.264	2.174
ILMN_1651456	UTY	ubiquitously transcribed tetratricopeptide repeat containing, Y-linked	-0.368	3.073
ILMN_1651457	GPR32	G protein-coupled receptor 32	-0.346	2.549
ILMN_1651464	KDM2B	lysine demethylase 2B	-0.357	3.585
ILMN_1651478	MEST	mesoderm specific transcript	-0.326	2.498
ILMN_1651490	CYP26A1	cytochrome P450 family 26 subfamily A member 1	-0.322	2.304
ILMN_1651492	WNT2B	Wnt family member 2B	-0.334	2.758
ILMN_1651496	HIST1H2BD	histone cluster 1, H2bd	-1.374	7.471
ILMN_1651499			-0.761	6.453
ILMN_1651507	PYROXD1	pyridine nucleotide-disulphide oxidoreductase domain 1	-0.28	2.279
ILMN_1651513	SKIV2L2	Ski2 like RNA helicase 2	0.626	7.168
ILMN_1651536			-0.344	2.903
ILMN_1651538	NUMBL	NUMB like, endocytic adaptor protein	-0.424	3.97
ILMN_1651544	HDAC8	histone deacetylase 8	0.204	1.748
ILMN_1651547	SEMA3E	semaphorin 3E	-0.529	6.232
ILMN_1651554	RGS5	regulator of G-protein signaling 5	-1.105	6.834
ILMN_1651557	KDELC2	KDEL motif containing 2	0.552	5.185
ILMN_1651568	MUC13	mucin 13, cell surface associated	-0.602	1.441
ILMN_1651569	XRCC2	X-ray repair cross complementing 2	-0.253	2.208
ILMN_1651588	KRTAP5-6	keratin associated protein 5-6	-0.327	2.718
ILMN_1651597	FBXO44	F-box protein 44	-0.333	2.74
ILMN_1651599	ENTPD2	ectonucleoside triphosphate diphosphohydrolase 2	-0.291	2.876
ILMN_1651604	MARK4	microtubule affinity regulating kinase 4	-0.351	3.57
ILMN_1651611	LDLR	low density lipoprotein receptor	0.386	1.497
ILMN_1651617	CTNNB1	catenin beta 1	-0.28	1.803
ILMN_1651624			-0.366	3.052
ILMN_1651628	EXOC6	exocyst complex component 6	0.234	2.963
ILMN_1651636	CYP2A13	cytochrome P450 family 2 subfamily A member 13	-0.371	3.507
ILMN_1651642	GPC2	glypican 2	0.317	2.305
ILMN_1651643	ASB11	ankyrin repeat and SOCS box containing 11	-0.394	3.647
ILMN_1651652	RTN3	reticulon 3	-0.333	3.063
ILMN_1651654	XPO7	exportin 7	-0.351	3.249
ILMN_1651657	ADAM33	ADAM metallopeptidase domain 33	-0.367	3.832
ILMN_1651666			-1.168	13.182
ILMN_1651674	PARP6	poly(ADP-ribose) polymerase family member 6	-0.293	2.682
ILMN_1651681			-0.315	2.485
ILMN_1651684	KIAA0586	KIAA0586	0.183	1.815
ILMN_1651690	PGBD4	piggyBac transposable element derived 4	-0.379	4.175
ILMN_1651692	STK10	serine/threonine kinase 10	-0.205	1.641
ILMN_1651693	GSG1	germ cell associated 1	-0.341	3.262
ILMN_1651708	RESP18	regulated endocrine specific protein 18	-0.372	2.998
ILMN_1651710	IQCD	IQ motif containing D	-0.272	1.93
ILMN_1651712	RBM11	RNA binding motif protein 11	-0.231	1.686
ILMN_1651715	RNF2	ring finger protein 2	-0.271	2.215
ILMN_1651717	ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif 20	-0.321	2.635
ILMN_1651719	MBTPS1	membrane bound transcription factor peptidase, site 1	0.331	3.991
ILMN_1651735	TGOLN2	trans-golgi network protein 2	-0.341	3.201
ILMN_1651741	ARMCX3	armadillo repeat containing, X-linked 3	-0.314	2.496
ILMN_1651745	TMEM25	transmembrane protein 25	-0.653	6.197
ILMN_1651752	CXorf21	chromosome X open reading frame 21	-0.483	5.931
ILMN_1651763	TFDP3	transcription factor Dp family member 3	-0.338	2.554
ILMN_1651767	MKL1	megakaryoblastic leukemia (translocation) 1	-0.419	3.655
ILMN_1651771	RRAGB	Ras related GTP binding B	-0.318	2.697
ILMN_1651776	FHOD1	formin homology 2 domain containing 1	0.266	2.199
ILMN_1651787	MSH5	mutS homolog 5	-0.274	2.343
ILMN_1651788	MAP3K11	mitogen-activated protein kinase kinase kinase 11	-0.428	3.372
ILMN_1651789	VCX	variable charge, X-linked	-0.34	2.585
ILMN_1651792	RORC	RAR related orphan receptor C	-0.331	2.539
ILMN_1651800	GSTM4	glutathione S-transferase mu 4	-0.561	7.271
ILMN_1651817	GRIK1	glutamate ionotropic receptor kainate type subunit 1	-0.387	3.772
ILMN_1651819	GALNT11	polypeptide N-acetylgalactosaminyltransferase 11	0.272	2.167
ILMN_1651828			1.174	16.19
ILMN_1651832	EHD1	EH domain containing 1	-0.424	3.27
ILMN_1651843			-0.332	3.068
ILMN_1651848	ITSN1	intersectin 1	-0.378	3.22
ILMN_1651849	SLC1A6	solute carrier family 1 member 6	-0.368	3.183
ILMN_1651850	RPS16	ribosomal protein S16	0.195	1.82
ILMN_1651872	UBIAD1	UbiA prenyltransferase domain containing 1	0.682	8.376
ILMN_1651878	EVC	EvC ciliary complex subunit 1	-0.367	4.051
ILMN_1651900	KCNA4	potassium voltage-gated channel subfamily A member 4	-0.319	2.54
ILMN_1651905			-0.335	2.967
ILMN_1651936	KMT5A	lysine methyltransferase 5A	0.317	5.626
ILMN_1651940	OR6C76	olfactory receptor family 6 subfamily C member 76	-0.337	2.624
ILMN_1651942	CDC25B	cell division cycle 25B	1.582	18.964
ILMN_1651943	ANK3	ankyrin 3, node of Ranvier (ankyrin G)	-0.312	3.104
ILMN_1651949	SCYL3	SCY1 like pseudokinase 3	-0.211	2.22
ILMN_1651958	MGP	matrix Gla protein	-1.695	6.08
ILMN_1651964	ABCC5	ATP binding cassette subfamily C member 5	-0.459	4.012
ILMN_1651966	FGFR3	fibroblast growth factor receptor 3	-0.354	3.202
ILMN_1651967	TP53I3	tumor protein p53 inducible protein 3	-0.519	6.92
ILMN_1651987	CCDC167	coiled-coil domain containing 167	0.694	8.899
ILMN_1652006	SMC1A	structural maintenance of chromosomes 1A	-0.47	5.717
ILMN_1652008	KNSTRN	kinetochore localized astrin/SPAG5 binding protein	0.736	9.71
ILMN_1652014	TGM7	transglutaminase 7	-0.364	3.279
ILMN_1652022	DHX57	DEAH-box helicase 57	-0.332	2.804
ILMN_1652024	CSNK1G3	casein kinase 1 gamma 3	-0.305	2.122
ILMN_1652027	GABBR1	gamma-aminobutyric acid type B receptor subunit 1	-0.653	3.612
ILMN_1652037	UPP2	uridine phosphorylase 2	-0.327	2.466
ILMN_1652040	KCTD2	potassium channel tetramerization domain containing 2	-0.529	6.981
