"initial_alias","converted_alias","name","description","namespace"
"TOP2A","ENSG00000131747","TOP2A","DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CEMIP","ENSG00000103888","CEMIP","cell migration inducing hyaluronidase 1 [Source:HGNC Symbol;Acc:HGNC:29213]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UBE2C","ENSG00000175063","UBE2C","ubiquitin conjugating enzyme E2 C [Source:HGNC Symbol;Acc:HGNC:15937]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ASPM","ENSG00000066279","ASPM","assembly factor for spindle microtubules [Source:HGNC Symbol;Acc:HGNC:19048]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CKS2","ENSG00000123975","CKS2","CDC28 protein kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:2000]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CEP55","ENSG00000138180","CEP55","centrosomal protein 55 [Source:HGNC Symbol;Acc:HGNC:1161]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRIP13","ENSG00000071539","TRIP13","thyroid hormone receptor interactor 13 [Source:HGNC Symbol;Acc:HGNC:12307]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UBE2T","ENSG00000077152","UBE2T","ubiquitin conjugating enzyme E2 T [Source:HGNC Symbol;Acc:HGNC:25009]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CLDN1","ENSG00000163347","CLDN1","claudin 1 [Source:HGNC Symbol;Acc:HGNC:2032]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRC1","ENSG00000198901","PRC1","protein regulator of cytokinesis 1 [Source:HGNC Symbol;Acc:HGNC:9341]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANLN","ENSG00000011426","ANLN","anillin, actin binding protein [Source:HGNC Symbol;Acc:HGNC:14082]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLCO4A1","ENSG00000101187","SLCO4A1","solute carrier organic anion transporter family member 4A1 [Source:HGNC Symbol;Acc:HGNC:10953]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDCA7","ENSG00000144354","CDCA7","cell division cycle associated 7 [Source:HGNC Symbol;Acc:HGNC:14628]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CENPF","ENSG00000117724","CENPF","centromere protein F [Source:HGNC Symbol;Acc:HGNC:1857]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CENPN","ENSG00000166451","CENPN","centromere protein N [Source:HGNC Symbol;Acc:HGNC:30873]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IQGAP3","ENSG00000183856","IQGAP3","IQ motif containing GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:20669]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDCA5","ENSG00000146670","CDCA5","cell division cycle associated 5 [Source:HGNC Symbol;Acc:HGNC:14626]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FOXQ1","ENSG00000164379","FOXQ1","forkhead box Q1 [Source:HGNC Symbol;Acc:HGNC:20951]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PPAT","ENSG00000128059","PPAT","phosphoribosyl pyrophosphate amidotransferase [Source:HGNC Symbol;Acc:HGNC:9238]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PUS7","ENSG00000091127","PUS7","pseudouridine synthase 7 [Source:HGNC Symbol;Acc:HGNC:26033]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PARPBP","ENSG00000185480","PARPBP","PARP1 binding protein [Source:HGNC Symbol;Acc:HGNC:26074]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDK1","ENSG00000170312","CDK1","cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GNL3","ENSG00000163938","GNL3","G protein nucleolar 3 [Source:HGNC Symbol;Acc:HGNC:29931]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NUP37","ENSG00000075188","NUP37","nucleoporin 37 [Source:HGNC Symbol;Acc:HGNC:29929]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EEF1E1","ENSG00000124802","EEF1E1","eukaryotic translation elongation factor 1 epsilon 1 [Source:HGNC Symbol;Acc:HGNC:3212]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PTTG1","ENSG00000164611","PTTG1","PTTG1 regulator of sister chromatid separation, securin [Source:HGNC Symbol;Acc:HGNC:9690]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TEAD4","ENSG00000197905","TEAD4","TEA domain transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11717]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PAICS","ENSG00000128050","PAICS","phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase [Source:HGNC Symbol;Acc:HGNC:8587]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TTK","ENSG00000112742","TTK","TTK protein kinase [Source:HGNC Symbol;Acc:HGNC:12401]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAD51AP1","ENSG00000111247","RAD51AP1","RAD51 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16956]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDKN3","ENSG00000100526","CDKN3","cyclin dependent kinase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:1791]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BUB1","ENSG00000169679","BUB1","BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SKP2","ENSG00000145604","SKP2","S-phase kinase associated protein 2 [Source:HGNC Symbol;Acc:HGNC:10901]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CENPA","ENSG00000115163","CENPA","centromere protein A [Source:HGNC Symbol;Acc:HGNC:1851]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TPX2","ENSG00000088325","TPX2","TPX2 microtubule nucleation factor [Source:HGNC Symbol;Acc:HGNC:1249]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NME1","ENSG00000239672","NME1","NME/NM23 nucleoside diphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:7849]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DLGAP5","ENSG00000126787","DLGAP5","DLG associated protein 5 [Source:HGNC Symbol;Acc:HGNC:16864]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NCAPG","ENSG00000109805","NCAPG","non-SMC condensin I complex subunit G [Source:HGNC Symbol;Acc:HGNC:24304]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDH3","ENSG00000062038","CDH3","cadherin 3 [Source:HGNC Symbol;Acc:HGNC:1762]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TGIF1","ENSG00000177426","TGIF1","TGFB induced factor homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11776]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PCLAF","ENSG00000166803","PCLAF","PCNA clamp associated factor [Source:HGNC Symbol;Acc:HGNC:28961]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM97","ENSG00000109084","TMEM97","transmembrane protein 97 [Source:HGNC Symbol;Acc:HGNC:28106]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LMNB2","ENSG00000176619","LMNB2","lamin B2 [Source:HGNC Symbol;Acc:HGNC:6638]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MCM2","ENSG00000073111","MCM2","minichromosome maintenance complex component 2 [Source:HGNC Symbol;Acc:HGNC:6944]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SOX9","ENSG00000125398","SOX9","SRY-box transcription factor 9 [Source:HGNC Symbol;Acc:HGNC:11204]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ETV4","ENSG00000175832","ETV4","ETS variant transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:3493]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NUSAP1","ENSG00000137804","NUSAP1","nucleolar and spindle associated protein 1 [Source:HGNC Symbol;Acc:HGNC:18538]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MELK","ENSG00000165304","MELK","maternal embryonic leucine zipper kinase [Source:HGNC Symbol;Acc:HGNC:16870]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TEX30","ENSG00000151287","TEX30","testis expressed 30 [Source:HGNC Symbol;Acc:HGNC:25188]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
