"initial_alias","converted_alias","name","description","namespace"
"SCARA5","ENSG00000168079","SCARA5","scavenger receptor class A member 5 [Source:HGNC Symbol;Acc:HGNC:28701]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GFRA2","ENSG00000168546","GFRA2","GDNF family receptor alpha 2 [Source:HGNC Symbol;Acc:HGNC:4244]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCA8","ENSG00000141338","ABCA8","ATP binding cassette subfamily A member 8 [Source:HGNC Symbol;Acc:HGNC:38]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAM107A","ENSG00000168309","FAM107A","family with sequence similarity 107 member A [Source:HGNC Symbol;Acc:HGNC:30827]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CLEC3B","ENSG00000163815","CLEC3B","C-type lectin domain family 3 member B [Source:HGNC Symbol;Acc:HGNC:11891]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RERGL","ENSG00000111404","RERGL","RERG like [Source:HGNC Symbol;Acc:HGNC:26213]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GNG7","ENSG00000176533","GNG7","G protein subunit gamma 7 [Source:HGNC Symbol;Acc:HGNC:4410]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KRT24","ENSG00000167916","KRT24","keratin 24 [Source:HGNC Symbol;Acc:HGNC:18527]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GCNT2","ENSG00000111846","GCNT2","glucosaminyl (N-acetyl) transferase 2 (I blood group) [Source:HGNC Symbol;Acc:HGNC:4204]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADHFE1","ENSG00000147576","ADHFE1","alcohol dehydrogenase iron containing 1 [Source:HGNC Symbol;Acc:HGNC:16354]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM100","ENSG00000166292","TMEM100","transmembrane protein 100 [Source:HGNC Symbol;Acc:HGNC:25607]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PLPP1","ENSG00000067113","PLPP1","phospholipid phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:9228]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SCGN","ENSG00000079689","SCGN","secretagogin, EF-hand calcium binding protein [Source:HGNC Symbol;Acc:HGNC:16941]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC25A34","ENSG00000162461","SLC25A34","solute carrier family 25 member 34 [Source:HGNC Symbol;Acc:HGNC:27653]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FXYD1","ENSG00000266964","FXYD1","FXYD domain containing ion transport regulator 1 [Source:HGNC Symbol;Acc:HGNC:4025]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NPY","ENSG00000122585","NPY","neuropeptide Y [Source:HGNC Symbol;Acc:HGNC:7955]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STOX2","ENSG00000173320","STOX2","storkhead box 2 [Source:HGNC Symbol;Acc:HGNC:25450]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FGL2","ENSG00000127951","FGL2","fibrinogen like 2 [Source:HGNC Symbol;Acc:HGNC:3696]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PLP1","ENSG00000123560","PLP1","proteolipid protein 1 [Source:HGNC Symbol;Acc:HGNC:9086]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
